                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4159,                 3.3515,                 1.4548,                 0.0037,                0.95238,                0.32704,                0.26424,                0.71749,                 3.1366,                0.93358,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.0409,                 3.0204,                 1.1513,                0.00389,                      1,                0.62782,                0.28631,                 1.1353,                 3.2413,                 1.1131,             0.00013802,             0.00013802,             0.00013802
                      3,                0.94745,                 2.2572,                 1.0616,                0.64592,                0.85714,                0.76823,                0.21145,                 1.1896,                 3.2542,                  1.229,             0.00021378,             0.00021378,             0.00021378
                      4,                0.87311,                 1.9007,                0.99916,                0.08915,                0.95238,                0.77385,                0.36821,                 1.1963,                 3.1205,                 1.2371,             0.00028727,             0.00028727,             0.00028727
                      5,                0.93478,                 1.7189,                 1.0283,                0.00389,                      1,                0.70652,                0.32243,                 1.2812,                 3.1006,                 1.2882,              0.0003585,              0.0003585,              0.0003585
                      6,                0.84074,                 1.6263,                0.97201,                0.00389,                      1,                0.75853,                0.21387,                  1.661,                 3.3482,                 1.5618,             0.00042747,             0.00042747,             0.00042747
                      7,                0.81681,                 1.4429,                 0.9141,                      1,                0.09449,                0.88791,                0.25278,                 1.7699,                 3.3577,                 1.7504,             0.00049418,             0.00049418,             0.00049418
                      8,                0.81603,                 1.2692,                0.93751,                0.89175,                0.47619,                0.79578,                0.36025,                 1.4008,                 2.9227,                 1.6411,             0.00055862,             0.00055862,             0.00055862
                      9,                0.84174,                 1.5686,                0.98397,                      1,                0.63677,                0.90574,                0.47357,                 1.4008,                 2.7672,                 1.7576,              0.0006208,              0.0006208,              0.0006208
                     10,                0.82176,                 1.3315,                0.99269,                0.91059,                0.48564,                 0.8362,                0.34537,                 1.4766,                 3.0154,                 1.8509,             0.00068072,             0.00068072,             0.00068072
                     11,                 0.8048,                 1.4332,                0.97089,                      1,                0.61119,                 0.8877,                0.48291,                 1.4065,                 2.9286,                 1.8327,             0.00073837,             0.00073837,             0.00073837
                     12,                0.88789,                 1.4741,                 1.0641,                0.99697,                0.71429,                0.86256,                0.49189,                 1.4715,                 2.8456,                 1.6811,             0.00079376,             0.00079376,             0.00079376
                     13,                0.97701,                 1.3921,                 1.0401,                0.89622,                0.41236,                0.79126,                0.21578,                 1.8513,                 3.2783,                 1.9972,             0.00084689,             0.00084689,             0.00084689
                     14,                0.92756,                 1.2453,                0.96733,                0.93203,                0.65362,                0.82464,                  0.237,                 1.9367,                 3.1645,                 2.3112,             0.00089776,             0.00089776,             0.00089776
                     15,                0.90962,                 1.3296,                0.98785,                0.94015,                0.74856,                0.86866,                 0.3794,                 1.7502,                 2.6424,                 2.3025,             0.00094636,             0.00094636,             0.00094636
                     16,                0.81348,                 1.2836,                0.95059,                 0.8125,                0.80952,                0.86624,                0.43619,                 1.6264,                 2.3534,                 2.2147,              0.0009927,              0.0009927,              0.0009927
