                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3876,                 2.9983,                 1.2419,                0.95464,                0.16445,                0.40197,                0.27912,                 1.1591,                 2.6468,                0.95752,                0.00026,                0.00026,                0.00026
                      2,                 1.3428,                 1.6081,                 1.0863,                0.97181,                0.26936,                 0.4666,                 0.3314,                 1.1628,                 2.5408,                 1.0083,             0.00053465,             0.00053465,             0.00053465
                      3,                 1.3547,                  1.475,                 1.1439,                0.81804,                0.07025,                0.32942,                0.18162,                 1.4622,                  2.745,                 1.2513,             0.00080376,             0.00080376,             0.00080376
                      4,                  1.344,                 1.3266,                 1.1611,                0.77107,                0.48438,                0.59083,                0.39672,                 1.3264,                 2.0623,                 1.1201,              0.0010673,              0.0010673,              0.0010673
                      5,                 1.3044,                 1.2094,                 1.1309,                0.79229,                0.59602,                0.64793,                0.35501,                 1.4998,                 2.0906,                 1.1755,              0.0013254,              0.0013254,              0.0013254
                      6,                 1.2875,                 1.1814,                  1.108,                0.61875,                0.44379,                0.46893,                0.29671,                 1.4788,                 2.1507,                 1.2011,              0.0015778,              0.0015778,              0.0015778
                      7,                  1.275,                 1.1662,                 1.1323,                0.55792,                0.35938,                0.39963,                0.19737,                  1.587,                 2.4028,                 1.3625,              0.0018248,              0.0018248,              0.0018248
                      8,                 1.3232,                 1.1813,                 1.1137,                 0.6783,                0.51066,                0.56758,                0.30491,                 1.6434,                 1.9801,                 1.4835,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.3017,                  1.173,                 1.1599,                0.77483,                0.37639,                0.44576,                0.26698,                 1.6907,                 2.3184,                 1.6295,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.259,                 1.0611,                 1.1085,                0.61315,                0.65625,                0.60164,                0.35066,                 1.3121,                 1.6262,                 1.1708,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2656,                 1.0929,                 1.1157,                0.79687,                0.73438,                0.78623,                0.46645,                 1.2777,                  1.296,                 1.1713,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3485,                 1.1376,                 1.1632,                0.80366,                0.77344,                0.78325,                 0.4155,                 1.3371,                 1.5998,                 1.0953,               0.001802,               0.001802,               0.001802
                     13,                 1.2753,                 1.0855,                  1.133,                0.75821,                0.71094,                0.76342,                0.48648,                 1.2411,                 1.3091,                 1.0847,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2392,                 0.9679,                 1.0994,                0.85623,                0.83594,                0.87514,                0.48263,                  1.435,                 1.1852,                 1.2104,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.3381,                 1.0252,                   1.12,                0.81753,                 0.7701,                0.81823,                0.49212,                 1.2781,                 1.1458,                  1.115,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.1795,                0.91154,                 1.0719,                0.67668,                0.72656,                0.75599,                0.47071,                 1.3286,                 1.2756,                 1.1342,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2026,                 0.9568,                  1.089,                0.88317,                0.71875,                0.85594,                 0.4925,                 1.3001,                 1.1496,                 1.1508,               0.001703,               0.001703,               0.001703
                     18,                 1.1564,                0.92133,                 1.0683,                0.83217,                0.81352,                0.85434,                0.51451,                 1.2792,                 1.1674,                 1.1534,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1776,                0.88673,                 1.1001,                0.88978,                0.73438,                 0.8111,                0.48997,                 1.3025,                  1.241,                 1.1823,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.241,                0.93215,                 1.1046,                0.92526,                0.87051,                0.91358,                0.51358,                 1.1997,                0.98609,                 1.1128,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1583,                0.87711,                 1.0769,                0.90863,                0.83594,                0.90577,                0.58116,                 1.1654,                0.94111,                 1.0702,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1179,                0.81794,                  1.066,                0.95382,                0.84375,                0.90527,                0.57452,                 1.1553,                0.93336,                 1.1119,               0.001604,               0.001604,               0.001604
                     23,                 1.1424,                0.82979,                 1.0589,                0.89426,                0.85895,                 0.8956,                0.49719,                 1.3551,                0.96298,                 1.2982,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.2061,                0.86535,                 1.0875,                0.93399,                0.83594,                0.87689,                0.52747,                 1.2616,                 0.9197,                 1.1272,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1372,                0.79762,                 1.0497,                0.90197,                0.86264,                0.89676,                0.55733,                 1.2413,                0.88504,                 1.1257,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1075,                0.75903,                 1.0506,                0.93156,                0.85077,                0.88865,                0.57319,                 1.2375,                0.84216,                 1.1613,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1658,                0.77726,                 1.0877,                0.90725,                 0.8125,                0.87565,                0.54348,                 1.2826,                0.89032,                 1.1916,               0.001505,               0.001505,               0.001505
                     28,                 1.1333,                0.76088,                 1.0545,                0.89434,                0.85963,                0.89167,                 0.5286,                 1.3756,                0.82041,                 1.2826,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1202,                0.73597,                  1.048,                0.93515,                  0.875,                0.89939,                0.59054,                 1.2069,                0.75213,                 1.1237,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1422,                0.80148,                 1.0617,                0.90127,                0.88281,                0.91543,                0.59562,                 1.1674,                0.77931,                 1.0747,              0.0014456,              0.0014456,              0.0014456
