                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4196,                  2.922,                 1.2699,                0.99418,                0.20312,                 0.3713,                0.26251,                 1.1685,                  2.679,                0.97141,                0.00026,                0.00026,                0.00026
                      2,                 1.3602,                 1.6973,                 1.1045,                0.01914,                0.64062,                0.40638,                0.30946,                 1.0402,                 2.7465,                0.96168,             0.00048654,             0.00048654,             0.00048654
                      3,                 1.2692,                 1.5405,                  1.101,                      1,                 0.1717,                0.44501,                0.29352,                 1.2455,                  2.681,                 1.0311,             0.00065764,             0.00065764,             0.00065764
                      4,                 1.3477,                 1.4966,                 1.1023,                0.90573,                0.19531,                 0.5034,                 0.3223,                 1.2352,                 2.6189,                 1.0294,              0.0007733,              0.0007733,              0.0007733
                      5,                 1.2313,                 1.3704,                 1.0805,                0.97421,                0.29514,                0.57466,                0.31997,                 1.4714,                 2.5681,                 1.2756,             0.00083352,             0.00083352,             0.00083352
                      6,                  1.225,                  1.308,                 1.0817,                0.73008,                0.48603,                  0.656,                0.37008,                 1.3824,                  2.009,                 1.1134,              0.0008383,              0.0008383,              0.0008383
                      7,                 1.1785,                 1.2191,                 1.0602,                0.81004,                0.76626,                0.80855,                0.52157,                 1.1804,                 1.3321,                 1.0003,             0.00078764,             0.00078764,             0.00078764
                      8,                 1.1421,                 1.1682,                  1.057,                0.93971,                0.77344,                0.86537,                0.53704,                 1.2038,                 1.2196,                 1.0017,               0.000614,               0.000614,               0.000614
                      9,                 1.1857,                 1.1225,                 1.0357,                0.92304,                0.74962,                 0.8657,                0.53769,                 1.1789,                 1.1562,                 1.0191,               0.000614,               0.000614,               0.000614
                     10,                 1.1107,                 1.0526,                 1.0164,                0.87414,                 0.8139,                0.88145,                0.54477,                 1.1619,                   1.07,                 1.0258,               0.000416,               0.000416,               0.000416
